recordNumber ,scientificName,commonName,taxonID,superFamily,family,subFamily,tribe,subTribe,genus
417,Avatha bubo,,355559,Noctuoidea,Erebidae,Erebinae,Cocytiini,,Avatha
418,Astygisa vexillaria,,538781,Geometroidea,Geometridae,Ennominae,Caberini,,Astygisa
419,Asota producta,,202260,Noctuoidea,Erebidae,Aganainae,,,Asota
420,Arsacia rectalis,,200148,Noctuoidea,Erebidae,,,,Arsacia
421,Arippara indicator,,460892,Pyraloidea,Pyralidae,Pyralinae,Pyralini,,Arippara
422,Argyrocosma inductaria,,344764,Geometroidea,Geometridae,Geometrinae,Comibaenini,,Argyrocosma
423,Amyna stricta,Eight-spot Moth,514851,Noctuoidea,Noctuidae,Bagisarinae,,,Amyna
424,Amblychia hymenaria,,125161,Geometroidea,Geometridae,Ennominae,Boarmiini,,Amblychia
425,Amata elongata,,1114334,Noctuoidea,Erebidae,Arctiinae,Syntomini,,Amata
426,Altha subnotata,,124668,Zygaenoidea,Limacodidae,Limacodinae,,,Altha
427,Almonia truncatalis,,1148243,Pyraloidea,Crambidae,Spilomelinae,,,Almonia
428,Aegocera venulia,Red Masked Noctuid moth,349216,Noctuoidea,Noctuidae,Agaristinae,,,Aegocera
429,Adites pseudohilaris,,802827,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Nudariina,Adites
430,Actias keralana,,1124897,Bombycoidea,Saturniidae,Saturniinae,Saturniini,,Actias
431,Acropteris striataria,,919383,Geometroidea,Uraniidae,Microniinae,,,Acropteris
432,Zitha torridalis,,338550,Pyraloidea,Pyralidae,Pyralinae,Pyralini,,Zitha
433,Zitha tactilis,,1152672,Pyraloidea,Pyralidae,Pyralinae,Pyralini,,Zitha
434,Ziridava xylinaria,,205286,Geometroidea,Geometridae,Larentiinae,,,Ziridava
435,Zamarada excisa,,125222,Geometroidea,Geometridae,Ennominae,Cassymini,,Zamarada
436,Xenotrachea albidisca,,516748,Noctuoidea,Noctuidae,Noctuinae,Xylenini,,Xenotrachea
437,Volobilis chloropterella,,909376,Pyraloidea,Pyralidae,Phycitinae,Phycitini,,Volobilis
438,Vitessa suradeva,,461126,Pyraloidea,Pyralidae,Pyralinae,Pyralini,,Vitessa
439,Uresiphita gilvata,Wandering Sunset,430206,Pyraloidea,Crambidae,Pyraustinae,,,Uresiphita
440,Tonica niviferana,,371468,Gelechioidea,Oecophoridae,,,,Tonica
441,Timandra convectaria,,423926,Geometroidea,Geometridae,Sterrhinae,Timandrini,,Timandra
442,Thysanoplusia orichalcea,Slender Burnished Brass,124890,Noctuoidea,Noctuidae,Plusiinae,Argyrogrammatini,,Thysanoplusia
443,Thysanoidma octalis,,912931,Pyraloidea,Crambidae,Musotiminae,,,Thysanoidma
444,Theretra alecto,Levant Hawkmoth,319505,Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,Choerocampina,Theretra
445,Tephriopis divulsa,,335497,Noctuoidea,Erebidae,Anobinae,,,Tephriopis
446,Tarsolepis rufobrunnea,,1020068,Noctuoidea,Notodontidae,Dudusinae,,,Tarsolepis
447,Targalla albiceps,,202816,Noctuoidea,Euteliidae,Euteliinae,,,Targalla
448,Tabidia aculealis,,474560,Pyraloidea,Crambidae,Spilomelinae,,,Tabidia
449,Syngamia falsidicalis,,124787,Pyraloidea,Crambidae,Spilomelinae,Nomophilini,,Syngamia
450,Symmacra solidaria,,801026,Geometroidea,Geometridae,Sterrhinae,Cyllopodini,,Symmacra
451,Syllepte sellalis,,337033,Pyraloidea,Crambidae,Spilomelinae,,,Syllepte
452,Syllepte abyssalis,,1125558,Pyraloidea,Crambidae,Spilomelinae,,,Syllepte
453,Suana concolor,,124934,Lasiocampoidea,Lasiocampidae,Lasiocampinae,Pinarini,,Suana
454,Stauropus thiaucourti,,1259413,Noctuoidea,Notodontidae,Notodontinae,Stauropini,,Stauropus
455,Stauropus fagi,Lobster moth,451846,Noctuoidea,Notodontidae,Notodontinae,Stauropini,,Stauropus
456,Spilosoma lutea,Buff Ermine,61855,Noctuoidea,Erebidae,Arctiinae,Arctiini,Spilosomina,Spilosoma
457,Sphragifera rejecta,,318791,Noctuoidea,Noctuidae,Bagisarinae,,,Sphragifera
